Id,Naziv
850,Kirurgija štitnjače – kontrolni pregled
854,Kirurgija štitnjače – prvi pregled
1416,Kirurška onkologija - konzultacija bez pacijenta
1273,Klinička citologija - konzultacija bez pacijenta
1113,Klinička citologija - ostali postupci
1252,Klinička farmakologija - konzultacija bez pacijenta
1437,Klinička farmakologija - konzultacija bez pacijenta
1092,Klinička farmakologija - ostali postupci
1438,Klinička psihologija - konzultacija bez pacijenta
482,Kolonoskopija
1146,Kolonoskopija u sklopu nacionalnih preventivnih programa
734,Kolonoskopija za djecu
577,Konaktne leće - prvi pregled
578,Kontaktne leće - kontrolni pregled 
1666,Kontrastna mamografija
985,Kontrolni pregled pacijenta u ortodontskoj terapiji
809,Kontrolni pregled psihologa za djecu
836,Kontrolni pregled za bolesti metabolizma - poremećaj lipida
485,Koronarografija
720,Krioterapija kožne lezije
1211,Kronične dječje bolesti - ostali postupci
1210,Kronične duševne bolesti - ostali postupci
1212,Kronične plućne bolesti - ostali postupci
782,Laserska fotokoagulacija retine - jedno oko
1031,Logopedija - kompleksna  terapija
550,Logopedija - kontrolni pregled
1439,Logopedija - konzultacija bez pacijenta
549,Logopedija - prvi pregled
1032,Logopedija - savjetovanje u rehabilitaciji
1045,Logopedija - složena obrada
1030,Logopedska terapija kod odraslog
807,Logopedska terapija za djecu
498,MR abdomena 
532,MR angiografija abdomena
534,MR angiografija donjih okrajina
526,MR angiografija gornjeg ekstremiteta
524,MR angiografija i karakterizacija plakova krvnih žila 
529,MR angiografija kralježnice
527,MR angiografija prsnoga koša
530,MR angiografija spinalnog kanala
525,MR angiografija vrata 
533,MR angiografija zdjelice
531,MR aortografija ili kavografija
518,MR artrografija
519,MR artroskopija
507,MR bubrega 
116,MR cervikalne kralježnice
496,MR dojke 
515,MR donjih ekstremiteta
521,MR fetusa
514,MR gornjih ekstremiteta 
502,MR gušterače 
592,MR hipofize
752,MR jačine 3T
517,MR jednog velikog zgloba
500,MR jetre 
501,MR kolangiopankreatografija
1233,MR koljena
505,MR kolonografija s enteroklizom
504,MR kolonoskopija
528,MR koronarografija
492,MR kostiju glave
118,MR lumbosakralne kralježnice
1606,MR medijastinuma
513,MR mekih tkiva 
523,MR mijelografija
488,MR mozga 
1134,MR mozga s TOF angiografijom
1131,MR mozga s angiografijom mozga
1132,MR mozga sa spektroskopijom
1133,MR mozga za GAMMA KNIFE
508,MR nadbubrežne žlijezde 
520,MR neonatusa
490,MR orbita 
499,MR organa gornjeg abdomena 
511,MR organa zdjelice 
491,MR paranazalnih sinusa 
489,MR piramida temporalne kosti
512,MR prostate 
495,MR prsnoga koša 
509,MR retroperitoneuma s prikazom limfnih čvorova 
